series,date,twd_predawn,mds,n_obs,mds_max,twd_norm,mds_norm,drought_stress_onset
P11,2024-07-18,113,282,96,2030.3599999999997,0.055655154750881626,0.13889162513051875,FALSE
P11,2024-07-19,168,323,96,2030.3599999999997,0.08274394688626649,0.15908508835871474,FALSE
P11,2024-07-20,0,355,96,2030.3599999999997,0,0.17484584014657503,FALSE
P11,2024-07-21,145,432,96,2030.3599999999997,0.07141590653874191,0.21277014913611383,FALSE
P11,2024-07-22,0,526,96,2030.3599999999997,0,0.2590673575129534,FALSE
P11,2024-07-23,0,148,96,2030.3599999999997,0,0.0728934770188538,FALSE
P11,2024-07-24,167,363,96,2030.3599999999997,0.08225142339289586,0.17878602809354008,FALSE
P11,2024-07-25,353,487,96,2030.3599999999997,0.17386079315983374,0.23985894127149868,FALSE
P11,2024-07-26,221,577,96,2030.3599999999997,0.10884769203491008,0.2841860556748557,FALSE
P11,2024-07-27,159,437,96,2030.3599999999997,0.07831123544593079,0.215232766602967,FALSE
P11,2024-07-28,221,396,96,2030.3599999999997,0.10884769203491008,0.19503930337477102,FALSE
P11,2024-07-29,402,540,96,2030.3599999999997,0.1979944443349948,0.26596268642014226,FALSE
P11,2024-07-30,530,586,96,2030.3599999999997,0.2610374514864359,0.28861876711519147,FALSE
P11,2024-07-31,567,626,96,2030.3599999999997,0.2792608207411494,0.3083197068500168,FALSE
P11,2024-08-01,556,652,96,2030.3599999999997,0.2738430623140724,0.3211253176776533,FALSE
P11,2024-08-02,620,700,96,2030.3599999999997,0.305364565889793,0.3447664453594437,FALSE
P11,2024-08-03,604,690,96,2030.3599999999997,0.29748418999586285,0.33984121042573734,FALSE
P11,2024-08-04,638,746,96,2030.3599999999997,0.3142299887704644,0.3674225260544929,FALSE
P11,2024-08-05,662,758,96,2030.3599999999997,0.3260505526113596,0.37333280797494045,FALSE
P11,2024-08-06,708,787,96,2030.3599999999997,0.3487066333064088,0.38761598928268887,FALSE
P11,2024-08-07,784,884,96,2030.3599999999997,0.38613841880257693,0.43539076813964034,FALSE
P11,2024-08-08,856,931,96,2030.3599999999997,0.42160011032526257,0.45853937232806014,FALSE
P11,2024-08-09,723,1094,96,2030.3599999999997,0.3560944857069683,0.5388207017474734,FALSE
P11,2024-08-10,747,974,96,2030.3599999999997,0.36791504954786347,0.47971788254299735,FALSE
P11,2024-08-11,928,1053,96,2030.3599999999997,0.4570618018479482,0.5186272385192775,FALSE
P11,2024-08-12,953,1059,96,2030.3599999999997,0.4693748891822141,0.5215823794795013,FALSE
P11,2024-08-13,775,1050,96,2030.3599999999997,0.38170570736224124,0.5171496680391655,FALSE
P11,2024-08-14,857,1031,96,2030.3599999999997,0.4220926338186332,0.5077917216651235,FALSE
P11,2024-08-15,962,1056,96,2030.3599999999997,0.4738076006225498,0.5201048089993894,FALSE
P11,2024-08-16,987,1066,96,2030.3599999999997,0.4861206879568156,0.5250300439330957,FALSE
P11,2024-08-17,1026,1120,96,2030.3599999999997,0.5053291041982704,0.55162631257511,FALSE
P11,2024-08-18,1064,1161,96,2030.3599999999997,0.5240449969463544,0.5718197758033059,FALSE
P11,2024-08-19,1078,1160,96,2030.3599999999997,0.5309403258535433,0.5713272523099353,FALSE
P11,2024-08-20,1089,1175,96,2030.3599999999997,0.5363580842806203,0.5787151047104948,FALSE
P11,2024-08-21,1118,1181,96,2030.3599999999997,0.5506412655883687,0.5816702456707186,FALSE
P11,2024-08-22,1131,1209,96,2030.3599999999997,0.5570440710021869,0.5954609034850963,FALSE
